SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,YearsOld
1686,2,3,Urban,1994,249148.3447,28
1957,3,2,Rural,1992,304197.5798,30
1562,3,3,Rural,2013,89378.55062,9
2899,3,3,Rural,1988,427295.4046,34
2590,5,2,Suburb,1957,328501.8015,65
2267,3,2,Urban,1989,215867.419,33
1831,2,2,Rural,2000,190058.8929,22
2528,5,1,Urban,1969,259751.1544,53
2154,2,1,Rural,2015,166810.3887,7
2508,5,3,Suburb,2007,352932.1625,15
2842,5,3,Urban,2014,422042.9185,8
1646,4,3,Suburb,1994,91423.61965,28
1020,5,1,Rural,1983,220053.8604,39
1840,5,3,Suburb,1961,216148.2085,61
1166,2,2,Suburb,1972,161587.1537,50
2297,2,2,Urban,2017,194967.9095,5
1387,3,1,Rural,2002,152828.7203,20
1600,4,2,Rural,2002,256725.9809,20
1315,5,2,Suburb,1989,98039.3031,33
1013,4,3,Urban,2002,164858.1869,20
1241,3,2,Urban,1985,199373.1821,37
1776,4,2,Urban,2014,181245.4467,8
2369,5,1,Suburb,1963,209700.7185,59
1564,2,2,Rural,1983,163053.3921,39
1897,4,2,Rural,1975,304004.6899,47
2363,5,3,Urban,2004,308830.9397,18
1091,3,3,Urban,2012,194294.0018,10
2390,5,3,Urban,2019,172777.3198,3
1955,4,1,Suburb,1995,197656.0703,27
2478,5,3,Urban,1986,273365.4991,36
2451,5,2,Rural,1972,216047.2181,50
1508,4,1,Urban,1965,149586.1531,57
1775,4,2,Suburb,1981,214171.0822,41
2966,3,2,Rural,1956,277419.0002,66
1034,5,3,Rural,1993,117295.3752,29
1205,2,1,Urban,1996,180760.8675,26
2104,4,1,Suburb,1954,202715.1601,68
2955,5,3,Rural,2012,378403.571,10
2585,2,1,Suburb,1961,257776.0924,61
2895,2,2,Suburb,2021,266046.8779,1
2411,5,1,Rural,1958,337645.6762,64
2025,5,2,Rural,1993,240145.9703,29
2021,5,1,Suburb,1971,92641.62211,51
2413,2,1,Urban,1995,152037.8828,27
1565,5,3,Rural,1957,149848.6164,65
2129,4,3,Urban,2005,220384.4345,17
2795,2,1,Rural,1977,305658.5639,45
2845,4,2,Urban,1996,318297.2566,26
2500,4,3,Rural,1984,230749.2763,38
1702,5,3,Urban,1970,201925.8409,52
1401,4,3,Suburb,1982,149576.6811,40
1729,5,1,Rural,2019,171877.0663,3
2579,2,2,Urban,1997,245276.7339,25
1161,4,2,Suburb,2003,288571.1272,19
1201,5,1,Urban,1951,87804.56037,71
2981,3,2,Rural,1982,267127.0106,40
1995,5,3,Suburb,1965,221217.7693,57
1269,3,2,Suburb,1999,218784.633,23
2886,5,3,Rural,1969,315607.0238,53
1815,3,3,Urban,2016,217967.9285,6
2294,4,1,Rural,1994,353343.634,28
1455,3,3,Urban,1984,187002.9639,38
2485,4,2,Rural,1978,222855.0833,44
2750,4,2,Rural,1994,366548.8223,28
2275,5,2,Rural,1964,259473.2793,58
2016,4,2,Urban,1952,212440.4224,70
2725,2,2,Urban,2018,237066.6856,4
1295,3,3,Urban,1983,158357.6481,39
2748,5,1,Suburb,2020,255619.9978,2
1719,4,1,Suburb,1953,190659.435,69
2772,3,2,Urban,1968,284985.4357,54
1337,3,3,Urban,1970,214741.2285,52
1878,2,1,Suburb,1964,128693.0288,58
2076,3,2,Rural,1966,184051.9827,56
1791,5,3,Rural,2003,242865.2602,19
2945,5,1,Urban,1986,295356.7755,36
1216,4,3,Rural,2003,107868.9321,19
1763,4,2,Urban,1971,207380.1361,51
1187,5,3,Suburb,1957,132828.8141,65
1379,3,1,Urban,1960,84493.69131,62
1492,3,1,Suburb,2019,53360.86541,3
2064,2,3,Rural,1958,296199.3496,64
2180,4,1,Urban,1951,273924.5574,71
1014,3,3,Urban,1981,204340.7259,41
2836,3,3,Urban,2000,228582.097,22
1064,4,2,Suburb,1986,237384.3466,36
2880,5,2,Rural,1955,312245.868,67
2862,3,3,Urban,1961,219408.625,61
1520,2,1,Rural,2003,201334.9416,19
2367,3,2,Suburb,1995,221413.5776,27
2152,3,1,Rural,1982,306839.6219,40
1647,2,3,Urban,1967,126756.3572,55
2495,5,1,Urban,1987,328702.8347,35
2086,2,1,Suburb,2008,141074.0284,14
2162,2,3,Rural,1956,220712.4613,66
2522,4,2,Urban,1964,319176.8399,58
1592,3,2,Suburb,1950,245299.2099,72
1391,5,1,Rural,1995,51154.13113,27
2698,3,3,Urban,1981,314018.0283,41
1418,5,3,Suburb,1998,222904.258,24
1288,2,2,Suburb,1959,115697.7782,63
1378,4,3,Suburb,1966,140714.7704,56
2796,2,3,Suburb,1969,178353.1481,53
2513,3,1,Suburb,2000,280022.0311,22
1230,4,1,Rural,1971,136418.4808,51
2017,4,2,Urban,1969,195803.9703,53
1040,3,2,Rural,2014,98933.43907,8
2051,5,1,Suburb,1953,185052.5632,69
1134,4,3,Urban,2003,160764.4394,19
1200,5,3,Suburb,2014,156394.2735,8
2863,5,1,Suburb,2000,333464.149,22
1779,5,1,Urban,1960,211994.3282,62
1929,4,1,Rural,1976,252779.6909,46
2056,2,1,Urban,1975,288750.4043,47
2071,4,3,Rural,1966,185482.0606,56
1502,2,3,Suburb,1991,119671.3689,31
1406,4,2,Suburb,1997,148891.4193,25
2597,2,1,Rural,1982,235810.2236,40
2751,2,2,Suburb,2010,357765.1172,12
1804,4,3,Rural,1978,216771.36,44
1098,5,2,Rural,2012,102580.4984,10
1683,5,3,Urban,1986,208774.1423,36
2895,2,3,Suburb,2005,302454.6401,17
1725,3,2,Urban,1965,208558.7817,57
2570,3,2,Urban,2005,276434.5399,17
1960,4,1,Suburb,1991,220786.712,31
2762,4,3,Urban,1973,354268.4752,49
1612,4,1,Suburb,2018,142420.9723,4
2966,3,1,Suburb,1980,299146.5954,42
2485,5,3,Urban,1960,321647.4527,62
1642,4,2,Suburb,1951,216976.9081,71
2792,4,1,Suburb,2020,243179.7034,2
2028,5,1,Suburb,1984,184210.7736,38
2241,2,3,Suburb,2011,175779.5682,11
1502,4,2,Urban,2003,162271.0864,19
1766,3,2,Rural,2018,240727.0397,4
1397,3,1,Urban,2000,186900.9464,22
1870,4,3,Rural,1958,208692.1498,64
1794,3,1,Rural,1963,114333.6939,59
1392,5,2,Rural,2005,225281.3242,17
1206,2,1,Suburb,1983,110852.4526,39
2038,2,3,Rural,1950,206119.1817,72
2881,4,1,Suburb,1987,292218.3734,35
2577,4,2,Suburb,1966,209166.2973,56
1891,2,3,Suburb,1965,283220.1087,57
2484,2,3,Urban,1997,354538.8214,25
2714,4,3,Rural,1999,290954.4918,23
2598,3,3,Urban,2020,207377.5555,2
1863,4,3,Suburb,1990,267934.0926,32
1742,5,1,Urban,1993,235034.8998,29
2264,4,3,Suburb,1964,246611.8831,58
1563,4,2,Urban,2010,314867.6516,12
2020,4,3,Suburb,1999,278092.7571,23
1095,4,2,Suburb,2001,88443.38397,21
2923,4,2,Urban,2001,235396.4545,21
2757,4,2,Suburb,1985,280503.8129,37
1484,3,2,Rural,1982,273072.3373,40
2430,4,2,Urban,1994,252666.8483,28
1230,2,1,Urban,1951,133914.4068,71
1748,4,2,Suburb,1950,142717.8302,72
2678,3,2,Urban,2019,266197.0444,3
2194,5,2,Rural,1996,245433.6945,26
1540,2,1,Urban,2013,177796.403,9
2059,4,3,Rural,1967,226582.2743,55
1524,4,2,Urban,2003,170745.4653,19
2183,2,1,Rural,1984,194059.3707,38
2862,4,1,Urban,2008,347187.4093,14
2722,3,1,Rural,1985,345978.9789,37
2266,4,3,Suburb,1975,323981.508,47
2109,5,1,Urban,1994,185909.9016,28
2819,3,2,Urban,2018,231642.4153,4
1577,4,2,Rural,1979,181472.0115,43
1681,5,2,Urban,1982,247683.3818,40
1556,2,3,Rural,1972,174119.7797,50
2597,3,1,Suburb,1970,249931.3819,52
2976,4,2,Rural,2012,352084.0473,10
2012,4,2,Urban,2019,356256.9103,3
1645,2,2,Suburb,2017,115738.6024,5
1795,2,3,Rural,1985,265399.2764,37
2051,3,2,Rural,1986,205543.4525,36
2643,3,1,Suburb,1950,248155.8717,72
2579,3,1,Urban,1975,318796.3968,47
2363,4,3,Urban,1991,254479.256,31
2821,4,3,Urban,1989,248782.2169,33
2981,3,3,Suburb,2002,320922.1762,20
2354,4,1,Rural,2011,265274.004,11
2663,2,3,Suburb,1993,283301.9362,29
2529,5,3,Rural,1985,291195.6713,37
2371,4,1,Suburb,1953,240277.0098,69
2496,3,2,Rural,1970,316708.5954,52
2254,4,3,Rural,1966,267724.6993,56
1189,2,2,Suburb,1965,52033.75929,57
2248,3,2,Suburb,1990,157260.9835,32
2408,5,2,Suburb,2004,349887.3872,18
2400,3,2,Rural,2006,302581.5244,16
2306,3,3,Suburb,2015,267740.4347,7
2981,3,3,Rural,1987,296942.7544,35
1632,4,3,Rural,2005,211665.6222,17
1627,5,1,Suburb,1986,240462.6778,36
1972,2,1,Urban,1999,221900.7731,23
2768,4,2,Urban,2004,337510.5084,18
2282,5,1,Rural,1950,351438.5468,72
2382,5,2,Rural,2014,207718.7412,8
1709,4,2,Urban,2014,187379.3901,8
2479,3,3,Rural,1993,325104.8264,29
2434,5,3,Urban,1961,234064.5137,61
1648,2,1,Rural,2002,168976.4954,20
1317,4,3,Rural,2010,72491.39026,12
2700,5,1,Suburb,1962,397825.3364,60
2248,2,3,Urban,1991,224680.0524,31
2842,2,3,Rural,1995,297609.7185,27
2257,2,1,Urban,1991,211357.5631,31
1683,2,2,Suburb,1965,191156.3841,57
1663,4,1,Urban,1993,198444.2855,29
2998,2,3,Rural,2019,227602.8452,3
2850,4,2,Urban,1965,227374.5843,57
2397,2,3,Suburb,1971,311492.2466,51
2695,2,3,Urban,1984,341035.6518,38
2631,4,3,Urban,1998,329215.4127,24
2495,3,2,Urban,2020,189722.895,2
2256,5,3,Urban,2013,315304.2483,9
2715,5,1,Rural,1980,229019.4795,42
2136,4,1,Urban,1950,218041.2171,72
2853,2,1,Suburb,1974,256367.8643,48
2520,4,2,Urban,1969,427589.087,53
1441,2,1,Suburb,1957,161116.8187,65
1563,4,3,Suburb,2013,182494.886,9
2291,5,2,Suburb,1965,276165.9051,57
2533,4,3,Suburb,2004,314516.613,18
2830,5,3,Rural,1975,272012.2652,47
2409,5,3,Urban,2014,342249.5423,8
2410,5,1,Urban,1977,258023.511,45
2136,4,1,Rural,1995,115459.882,27
2636,3,2,Urban,2003,240419.9739,19
2648,4,2,Rural,2003,388951.7892,19
1951,4,1,Suburb,2021,250119.2129,1
2104,3,1,Urban,1998,210586.9765,24
1698,3,3,Suburb,1995,234243.6244,27
1112,5,1,Urban,1950,69293.96649,72
1001,2,3,Urban,1993,163837.6824,29
1641,2,1,Urban,1953,252127.9863,69
1219,5,3,Suburb,1980,117989.3568,42
2589,4,1,Rural,1964,313948.4453,58
1854,2,1,Suburb,1950,254919.2752,72
2759,4,2,Rural,2021,197521.8272,1
2248,3,2,Urban,1955,198494.0403,67
1384,3,3,Urban,1976,152204.7559,46
2426,5,2,Urban,1975,308529.3077,47
2661,4,2,Urban,2015,308854.901,7
2153,5,1,Suburb,1962,246860.55,60
2076,2,3,Rural,2020,225867.2386,2
2707,2,2,Rural,1983,249678.2289,39
1729,2,2,Rural,1982,108636.4752,40
2695,4,1,Urban,1989,299818.5608,33
2733,5,1,Suburb,1992,290094.597,30
2439,5,1,Urban,1956,272077.8727,66
1246,2,3,Rural,1988,130941.4829,34
1835,5,1,Suburb,2015,241849.2415,7
2462,3,3,Suburb,1985,206273.3001,37
1202,3,1,Urban,2013,155086.4599,9
2207,3,2,Suburb,1953,169742.8703,69
1122,3,3,Suburb,1971,148324.4032,51
1400,5,1,Suburb,2020,184460.0434,2
1766,3,1,Urban,1953,138095.4799,69
1293,3,2,Urban,2013,205414.9105,9
1279,3,2,Suburb,1971,183265.399,51
2860,3,2,Urban,2011,284616.4673,11
1883,3,1,Suburb,1989,181947.6429,33
2633,4,2,Rural,1969,284003.7694,53
1197,4,2,Rural,1958,90959.78933,64
1981,3,3,Suburb,2014,198755.1464,8
2930,3,3,Rural,1972,370459.829,50
2534,5,3,Rural,1984,348379.2665,38
1751,3,1,Rural,2008,270704.1541,14
1143,2,3,Suburb,1963,168931.8286,59
1608,4,1,Urban,1993,189126.0514,29
2224,3,2,Suburb,1971,218168.7081,51
2147,4,1,Suburb,1977,199220.1955,45
1186,3,1,Urban,2008,129960.0168,14
2349,2,2,Suburb,1996,281507.745,26
1463,3,3,Suburb,2017,169378.7848,5
2372,4,3,Suburb,2019,248599.1077,3
2794,4,3,Rural,1966,411678.0284,56
1659,4,2,Suburb,1980,119032.883,42
1763,5,1,Suburb,1963,230075.0498,59
1954,4,2,Urban,1998,122604.9562,24
2955,3,2,Rural,2016,296998.8381,6
1402,2,2,Rural,1970,109470.1427,52
2369,2,2,Suburb,1962,246212.1973,60
2986,3,1,Rural,1999,310583.0759,23
2534,5,3,Rural,2017,233756.8864,5
1146,3,3,Urban,1961,100102.2252,61
2171,4,2,Urban,1997,199324.8407,25
1863,5,1,Rural,2013,331026.5964,9
2734,3,2,Urban,1964,231041.3484,58
2843,5,1,Suburb,1965,333530.0634,57
1488,2,2,Urban,2021,61092.66123,1
1928,3,3,Suburb,1999,205778.3124,23
2959,3,3,Urban,1990,384570.7365,32
2663,2,2,Rural,1953,339772.9527,69
1550,5,3,Suburb,1969,186745.1296,53
1337,2,2,Urban,1957,185559.0802,65
1871,5,1,Urban,2017,213894.3146,5
1640,3,1,Suburb,1996,180978.0157,26
2802,5,1,Urban,1982,243011.5747,40
2976,5,1,Rural,1954,265075.9482,68
1472,4,2,Suburb,2017,163315.127,5
2969,4,3,Rural,1990,384847.0499,32
1150,4,1,Suburb,2010,190479.1989,12
2438,2,3,Suburb,1973,204129.2143,49
2321,2,2,Suburb,1976,249930.1176,46
2634,4,3,Suburb,1978,372750.4748,44
1262,3,3,Rural,2016,189650.2011,6
2787,3,3,Rural,1986,308299.3121,36
1143,3,2,Suburb,2002,95784.07402,20
1345,2,2,Suburb,1951,165456.1184,71
1623,5,2,Rural,1986,236531.6655,36
2016,2,3,Suburb,2021,212190.7549,1
2595,4,1,Suburb,2014,298280.3607,8
1880,5,1,Rural,1997,172765.2509,25
1001,3,3,Rural,1998,151917.3536,24
1896,2,1,Rural,1996,196497.0693,26
2327,2,1,Urban,1953,212603.1702,69
1253,4,3,Suburb,1952,205827.9137,70
2675,3,2,Rural,1985,350608.1323,37
1452,2,1,Suburb,1955,64055.91438,67
2060,2,2,Urban,1983,202645.4687,39
2183,5,1,Rural,2001,215636.3058,21
2014,2,3,Rural,1980,210336.9815,42
1008,5,3,Suburb,1983,161063.7361,39
2256,2,2,Suburb,1991,162732.681,31
2122,3,2,Rural,1997,283190.3906,25
2682,4,2,Rural,2005,257018.5571,17
1815,3,2,Suburb,1967,161315.0888,55
1207,4,3,Suburb,1963,171344.5126,59
2154,2,3,Rural,2018,301758.3278,4
1403,3,3,Urban,2007,186512.3187,15
1151,5,2,Suburb,2019,147961.7399,3
1053,4,3,Suburb,2005,96856.09323,17
2143,4,3,Suburb,2002,241976.2417,20
2696,2,1,Rural,2018,256546.8458,4
2943,4,1,Rural,2009,245612.125,13
1627,4,1,Rural,1981,192616.9107,41
1586,4,2,Suburb,1996,234537.6253,26
2648,2,2,Suburb,1971,266525.8016,51
2991,3,3,Urban,1953,411274.8172,69
2443,2,3,Rural,1974,241617.2738,48
2445,5,2,Rural,2010,230463.8154,12
1103,4,1,Suburb,1961,249885.947,61
2875,4,3,Suburb,1980,320712.1739,42
1253,3,1,Urban,1950,131536.1636,72
2250,4,3,Suburb,2010,258681.6486,12
2135,3,1,Suburb,1955,236721.5797,67
1509,4,3,Suburb,1971,152417.9594,51
2496,4,1,Urban,1961,277449.0164,61
1098,2,1,Urban,1972,97639.6442,50
1152,2,2,Urban,1984,68864.72804,38
2884,5,3,Urban,1963,292602.0202,59
1913,3,1,Urban,1979,163126.6346,43
2919,5,2,Rural,1971,316117.1566,51
1877,2,3,Suburb,1965,173591.5158,57
1337,3,2,Urban,2020,245240.8693,2
2729,2,1,Urban,1964,299136.081,58
1821,3,3,Urban,1951,102620.9118,71
2186,4,1,Urban,1971,174740.9101,51
2743,5,1,Suburb,2012,303839.7622,10
1956,5,2,Suburb,1964,255500.6503,58
2704,3,1,Rural,1968,305226.148,54
1160,5,3,Suburb,1970,174048.9196,52
2603,2,2,Urban,1976,240369.9407,46
1800,5,1,Urban,1968,310732.593,54
1397,3,1,Urban,1975,125680.0817,47
2300,5,1,Urban,1998,303253.7531,24
1815,5,2,Suburb,2007,137931.9766,15
2939,2,3,Suburb,2016,238181.4446,6
2527,4,2,Rural,1974,299144.4834,48
2919,2,1,Suburb,1971,340122.3587,51
2415,5,2,Urban,1963,230193.1787,59
2158,5,1,Urban,1958,300494.8966,64
2218,4,2,Suburb,1971,267560.2688,51
1400,4,1,Rural,1964,173748.309,58
1639,2,2,Rural,1989,198112.8732,33
2056,4,1,Suburb,2014,237224.4282,8
1687,2,1,Suburb,2002,130383.6498,20
1459,3,2,Suburb,1980,248587.2901,42
1954,5,2,Urban,1959,268826.741,63
2906,4,1,Suburb,1983,307426.1376,39
1469,3,3,Suburb,1986,224293.9722,36
2398,3,1,Rural,1962,335992.3788,60
2045,2,1,Rural,1987,265649.0843,35
1749,2,3,Urban,1994,218960.6472,28
2693,4,1,Rural,1959,257512.5585,63
1037,2,2,Rural,1971,86619.30466,51
1229,3,2,Suburb,2010,48780.11213,12
2388,3,3,Rural,1987,274896.2616,35
1562,5,1,Rural,2007,181237.8317,15
1437,3,2,Rural,1975,49052.37096,47
2799,4,1,Rural,1998,182649.2383,24
2306,5,3,Rural,2011,347942.0053,11
1026,2,2,Rural,1958,31998.01568,64
1225,5,3,Rural,2009,181103.2635,13
2300,3,1,Rural,1979,172216.0833,43
1797,4,1,Urban,1970,273262.8517,52
2632,2,1,Suburb,1999,306987.0516,23
1283,2,3,Rural,1978,172933.772,44
1878,3,2,Suburb,1989,159685.4467,33
1959,4,3,Rural,1966,244916.4658,56
2504,3,2,Urban,2017,250927.6416,5
1452,3,1,Rural,2013,86276.33242,9
2019,4,1,Urban,1972,209029.9486,50
2852,3,3,Rural,1956,267060.0308,66
1815,4,2,Rural,1983,158867.8199,39
1658,4,1,Suburb,1973,200254.7187,49
2539,3,1,Rural,1956,197039.3949,66
1546,3,3,Rural,1957,251427.1554,65
2215,5,3,Urban,1952,298798.8575,70
2072,2,2,Suburb,1953,209615.3838,69
2535,2,1,Rural,2012,343628.2296,10
1016,4,2,Suburb,2015,86742.69816,7
2195,5,2,Suburb,2018,260504.8307,4
2243,4,2,Rural,1959,267664.3312,63
1157,5,3,Rural,2012,87137.89045,10
1476,4,2,Rural,1986,217625.4427,36
2069,2,2,Rural,2021,179619.6811,1
2396,5,2,Rural,1952,304272.5428,70
1517,3,3,Suburb,1978,180446.9392,44
1098,3,3,Urban,2011,96810.15544,11
2915,2,1,Suburb,1982,293526.3479,40
2768,5,3,Rural,2009,333027.9076,13
2060,3,3,Suburb,1991,261561.3314,31
1279,3,2,Urban,2011,60826.53009,11
2372,3,1,Suburb,1955,278442.1635,67
1496,2,3,Rural,1998,123828.1036,24
1301,4,1,Rural,2021,88586.0573,1
1180,3,2,Rural,1992,134443.8975,30
1606,3,3,Urban,1958,136925.1708,64
2122,4,2,Rural,2000,234164.891,22
1699,3,2,Rural,1963,150304.5494,59
1992,5,1,Rural,1973,240050.496,49
2139,3,3,Rural,2021,277542.7035,1
1190,4,1,Suburb,1982,197241.2518,40
1252,2,2,Rural,1978,101805.5981,44
1980,2,3,Suburb,1951,197810.6223,71
1927,5,2,Urban,2001,172279.0649,21
2184,3,1,Suburb,1994,205236.2839,28
2279,3,1,Suburb,1987,206408.5332,35
2346,4,2,Suburb,1994,279439.9844,28
1127,4,1,Suburb,1965,127174.7226,57
1017,5,1,Suburb,1996,127458.039,26
2816,5,2,Suburb,1974,356063.8292,48
2758,3,3,Urban,2006,344787.6194,16
1565,3,3,Rural,1968,153282.8516,54
1569,5,3,Urban,1987,23125.99668,35
2346,2,2,Suburb,2015,297939.7232,7
2895,2,2,Suburb,1956,348536.6136,66
1685,2,1,Suburb,1969,145096.7349,53
2815,2,3,Urban,1953,316533.4622,69
1625,5,1,Suburb,1964,273166.56,58
2311,4,2,Urban,2013,343467.4139,9
2966,2,3,Suburb,2006,258865.9613,16
1853,5,2,Suburb,1999,197763.0653,23
2686,2,1,Urban,1966,196431.1618,56
1961,3,1,Urban,1965,192271.5714,57
2662,2,2,Urban,1952,252805.9847,70
1154,5,2,Urban,1994,20075.48609,28
1489,3,3,Suburb,1993,225167.5423,29
2409,3,2,Suburb,2011,333108.7015,11
1784,2,1,Rural,1958,253462.8412,64
2127,2,1,Suburb,2009,273921.2443,13
2952,3,2,Suburb,2006,230500.4506,16
2416,4,2,Suburb,2010,361696.081,12
2834,5,3,Suburb,2013,319789.8466,9
1245,5,1,Suburb,1966,174765.2567,56
2199,5,1,Rural,2007,300718.8166,15
2062,5,1,Urban,1996,261326.8509,26
2500,5,2,Suburb,2001,363561.9094,21
2705,3,1,Suburb,1967,251734.589,55
1758,5,2,Urban,1986,280965.895,36
1537,4,3,Urban,2019,110904.3256,3
2890,4,2,Rural,1966,335743.3089,56
2841,2,3,Rural,1952,276296.3369,70
1920,2,3,Rural,1982,222212.1321,40
1407,2,2,Urban,1956,221697.8157,66
1524,2,3,Suburb,1951,223582.3849,71
1827,3,2,Urban,1983,206212.7926,39
2529,4,1,Suburb,1953,214945.5948,69
1902,3,2,Urban,1998,152143.2966,24
2848,4,3,Urban,1966,376480.3015,56
1035,3,3,Urban,2020,135298.4457,2
1684,4,1,Urban,1961,160232.4203,61
1019,2,2,Suburb,1993,70855.37072,29
1320,4,1,Suburb,1998,183736.727,24
2799,2,3,Suburb,2018,388318.7211,4
1511,4,2,Suburb,1966,165073.7156,56
1399,3,3,Rural,1987,213210.0434,35
1653,5,2,Rural,2005,140382.8723,17
1971,4,1,Urban,2010,260495.0847,12
2906,3,1,Suburb,1981,385304.7145,41
1470,5,3,Suburb,2005,144254.7959,17
2166,3,1,Urban,1972,277469.1074,50
2115,5,1,Urban,2015,252361.1315,7
2377,2,3,Urban,2016,256202.9962,6
1833,4,3,Suburb,1954,139343.7275,68
2823,3,3,Suburb,1972,246154.6873,50
1726,4,2,Suburb,2000,218372.9302,22
2982,2,3,Rural,1974,309839.6921,48
1853,2,2,Urban,1973,219293.0106,49
1050,4,3,Suburb,1979,203482.1889,43
2688,3,2,Urban,2000,220036.0305,22
2721,3,3,Rural,1979,365466.4528,43
1574,3,2,Urban,2021,125013.1451,1
2213,4,1,Suburb,1995,234126.8057,27
2148,3,3,Urban,2006,213331.2023,16
1149,3,3,Suburb,1978,91677.17431,44
1313,5,2,Rural,2011,262434.5217,11
1569,3,1,Rural,1978,184359.5381,44
2365,2,1,Suburb,1986,323820.0406,36
1304,3,2,Rural,1989,97808.59675,33
2715,4,3,Urban,2004,298075.9524,18
1681,4,1,Rural,1975,128702.1148,47
1837,3,3,Rural,1976,129730.1974,46
2806,4,2,Rural,2000,326637.4753,22
2077,4,3,Rural,1971,241442.1438,51
2002,3,1,Suburb,2014,259033.5696,8
1443,5,2,Rural,1987,299103.3398,35
1612,5,1,Suburb,1950,127303.8574,72
1992,5,3,Suburb,1964,210318.9029,58
1263,5,3,Suburb,1960,188936.218,62
2076,2,2,Urban,2005,185380.1293,17
2595,3,1,Urban,1987,294176.3398,35
2003,4,1,Suburb,2003,198735.7641,19
2643,4,1,Urban,1972,268807.8484,50
1004,3,2,Rural,1986,65228.45166,36
2126,4,3,Urban,2000,262087.5685,22
2219,2,3,Rural,2010,255398.7488,12
1773,5,3,Urban,1971,200902.121,51
1876,3,1,Suburb,2015,237628.6476,7
1991,4,2,Suburb,2004,201135.2861,18
1883,2,1,Urban,2016,327202.4144,6
2373,4,2,Rural,1975,313572.8518,47
1046,2,1,Rural,1987,161735.0896,35
1866,4,2,Suburb,1999,135186.9409,23
1822,5,1,Rural,1972,206442.2525,50
1935,3,1,Suburb,2002,176508.4751,20
2843,5,2,Urban,1988,295895.5581,34
1655,5,3,Urban,1972,215023.3833,50
1268,4,3,Urban,2015,145269.2037,7
1369,5,2,Suburb,1977,156946.2389,45
1635,3,2,Urban,2009,246606.2725,13
2129,2,3,Rural,2016,194238.864,6
2693,2,1,Suburb,1959,281991.702,63
2682,4,3,Rural,1983,258071.8801,39
1656,3,2,Urban,1950,149913.0106,72
1119,3,1,Suburb,1986,118571.5243,36
1830,2,2,Suburb,2017,258490.7949,5
2810,2,3,Suburb,2020,237178.0369,2
2627,5,1,Urban,2016,283416.6118,6
2081,4,3,Suburb,2007,234682.711,15
2974,2,3,Suburb,1965,236267.0623,57
2369,2,3,Urban,2013,220216.9713,9
1740,3,1,Urban,1977,231805.2696,45
2497,3,3,Rural,2019,293908.2937,3
1116,3,1,Rural,1977,148823.0463,45
2853,2,3,Rural,1967,317837.8614,55
1790,4,3,Suburb,1992,311154.7319,30
2150,5,2,Urban,1963,256000.1606,59
2416,4,3,Rural,1971,215724.195,51
2931,2,1,Rural,1963,249356.7367,59
2012,5,2,Urban,1968,223423.0823,54
2664,4,1,Suburb,1968,272864.801,54
2081,2,3,Urban,1988,202344.3256,34
1633,4,2,Urban,1982,228849.2336,40
1512,2,2,Urban,1987,240983.242,35
2774,3,2,Suburb,1981,289649.3015,41
1801,4,1,Rural,1963,144200.2547,59
